HoleLabel,DarkNoise
-2118,1.84664663889
-2117,0.329505814815
-2116,0.103020988
-2115,0.184106478095
-2114,0.150616833735
-2113,0.312236407407
-2112,1.16596321296
-2111,0.146618064815
-2110,0.115198099074
-2109,0.279749111111
-2108,0.138299643519
-2107,0.139726356481
-2106,0.12880189537
-2105,6.20835624516
-2104,0.129823918519
-2103,2.174376975
-2102,0.104876260185
-2101,1.39412797143
-2018,0.139522574074
-2017,0.341914572222
-2016,0.228049627778
-2015,0.184410294444
-2014,0.277450787037
-2013,0.459710138889
-2012,0.243677927103
-2011,0.0003414045
-2010,0.199266174074
-2009,0.155471667593
-2008,0.157269025926
-2007,2.44605506471
-2006,0.000324462
-2005,0.119763547222
-2004,0.155886714019
-2003,0.195576205556
-2002,0.220558127103
-2001,0.375098861111
-1918,0.639513138889
-1917,0.223161412222
-1916,1.12019741667
-1915,0.127908689815
-1914,0.157166966667
-1913,0.144697500857
-1912,0.252315960748
-1911,0.132773156622
-1910,0.168942712129
-1909,0.180252893421
-1908,0.187095765432
-1907,0.180942279439
-1906,4.87938083333
-1905,0.161133337037
-1904,0.227848508333
-1903,0.00109987066667
-1902,0.238149252336
-1901,0.15717647963
-1836,0.130588819626
-1835,0.000805276333333
-1834,0.19759844717
-1833,0.0003414045
-1832,0.0917884333333
-1831,0.0984039092593
-1830,0.206847194444
-1829,0.988208083178
-1828,0.166741038889
-1827,0.203652981481
-1826,0.177836438889
-1824,0.111539981818
-1823,0.0003414045
-1822,0.0003414045
-1821,0.000324462
-1819,0.56400505
-1818,0.153540767568
-1816,0.0167813906667
-1815,0.330143632184
-1814,0.0032866532
-1813,0.169955348148
-1812,0.28103363015
-1811,1.68333476852
-1810,0.000324462
-1809,0.280348523364
-1808,0.30337065943
-1807,0.173052262037
-1806,0.00088441275
-1805,0.38714006383
-1804,0.0003414045
-1803,0.0003414045
-1802,0.001486263
-1801,0.0003414045
-1736,0.175712627778
-1735,0.213061
-1734,1.00083048148
-1733,0.0003414045
-1732,0.183975937963
-1731,0.000805276333333
-1730,0.00138294633333
-1729,0.0016072818
-1727,0.0003414045
-1726,0.00105877514286
-1725,0.172338395534
-1724,0.145826219444
-1723,0.175103371613
-1722,0.000685306333333
-1720,0.0003414045
-1719,0.173131024074
-1718,0.733620394538
-1717,0.13793002378
-1715,0.358267272162
-1714,0.0007000615
-1713,0.000729110714286
-1712,0.000685306333333
-1711,0.0003414045
-1709,0.001760583
-1708,0.36112962037
-1707,0.189102825
-1706,0.155836991589
-1705,0.0008086728
-1704,9.42360305556
-1703,0.163196897222
-1702,0.333789675926
-1701,0.001486263
-1636,0.415136355
-1635,0.189307164486
-1634,0.195087214019
-1633,0.117734654545
-1632,0.00161515492
-1631,0.267821295327
-1630,0.226563842593
-1629,0.195720314815
